Auction No,Issue date,Amount offered in Auction,Total bids (Competitive & Uncompetitive), Over/(Under) Subscribed ,   Face Value ,   Cost Value ,   Interest due , Date due,Duration,Implicit annual,Clearing ,Lowest Factor ,Weighted Average Price,Average Discount Factor,Money Market yield,Annualised , Rejected Amount ,Bid-to-cover
,-1, (1a) , (1b) ,,-2,-3,-4,-5,-6,-9,-10,-11,-12,-13,,,,
626,07-Dec-05,"12,000,000,000","17,340,000,000","5,340,000,000","12,000,000,000","11,485,052,157","514,947,843",22-Jun-06,182,,,,95.709,8.606,,8.992,"2,130",
627,21-Dec-05,"9,000,000,000","9,000,000,000", -   ,"9,000,000,000","8,618,643,013","381,356,987",01-Jul-00,182,,,,95.763,8.498,,8.874,"2,159",
,,,,,,,,,,,,,,,,,,
628,04-Jan-06,"9,000,000,000","11,443,000,000","2,443,000,000","9,000,000,000","8,615,104,018","384,895,982",20-Jul-06,182,,,,95.723,8.577,,8.96,"2,138",
629,18-Jan-06,"14,000,000,000","18,599,800,000","4,599,800,000","14,000,000,000","13,406,537,274","593,462,726",01-Jul-00,182,,,,95.761,8.501,,8.878,"2,158",
,,,,,,,,,,,,,,,,,,
630,01-Feb-06,"14,000,000,000","17,581,000,000","3,581,000,000","14,000,000,000","13,407,843,340","592,156,660",17-Aug-06,182,,,,95.77,8.483,,8.857,"2,164",
631,15-Feb-06,"18,000,000,000","16,277,600,000","-1,722,400,000","16,277,600,000","15,591,938,688","685,661,312",01-Jul-00,182,,,,95.788,8.448,,8.819,"2,173",
,,,,,,,,,,,,,,,,,,
632,01-Mar-06,"14,000,000,000","20,360,400,000","6,360,400,000","14,000,000,000","13,413,094,802","586,905,198",14-Sep-06,182,,,,95.808,8.407,,8.775,"2,185",
633,15-Mar-06,"14,000,000,000","14,555,600,000","555,600,000","14,000,000,000","13,414,740,780","585,259,220",28-Sep-06,182,,,,95.82,8.384,,8.75,"2,192",
634,29-Mar-06,"14,000,000,000","17,263,400,000","3,263,400,000","14,000,000,000","13,414,948,282","585,051,718",01-Jul-00,182,,,,95.821,8.381,,8.746,"2,192",
,,,,,,,,,,,,,,,,,,
635,12-Apr-06,"14,000,000,000","15,713,400,000","1,713,400,000","14,000,000,000","13,419,040,941","580,959,059",26-Oct-06,182,,,,95.85,8.322,,8.683,"2,209",
636,26-Apr-06,"9,000,000,000","21,933,300,000","12,933,300,000","9,000,000,000","8,673,254,089","326,745,911",01-Jul-00,182,,,,96.369,7.281,,7.555,"2,554",
,,,,,,,,,,,,,,,,,,
